Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
2019-06-19 01:15:00;9160.27;9175.98;9148.35;9156.97;32.88;301232.15;9160.71
2019-06-19 01:20:00;9157.1;9157.29;9136.65;9143.44;9.52;87108.18;9145.5
2019-06-19 01:25:00;9140.93;9156.58;9140.93;9140.96;1.05;9595.19;9146.41
2019-06-19 01:30:00;9154.35;9177.47;9154.35;9173.95;12.34;113095.51;9167.77
2019-06-19 01:35:00;9173.89;9178.51;9158.21;9168.06;4.63;42500.97;9171.72
2019-06-19 01:40:00;9168.06;9168.06;9144.99;9149.66;29.55;270425.71;9152.92
2019-06-19 01:45:00;9155.05;9158.72;9143.73;9148.53;10.81;98938.15;9150.71
2019-06-19 01:50:00;9141.75;9151.38;9140.62;9146.92;1.8;16488.34;9146.09
2019-06-19 01:55:00;9147.68;9147.68;9136.09;9142.36;3.03;27668.05;9141.05
2019-06-19 02:00:00;9138.07;9154.2;9138.07;9154.06;7.56;69175.33;9146.64
2019-06-19 02:05:00;9154.05;9155.84;9145.98;9155.84;12.7;116207.02;9153.39
2019-06-19 02:10:00;9156.89;9157.75;9145;9145;2.54;23230.87;9148.38
2019-06-19 02:15:00;9145.01;9148.57;9128.2;9128.2;4.41;40295.76;9135.93
2019-06-19 02:20:00;9132.71;9132.71;9120.01;9120.01;1.14;10427.64;9127.69
2019-06-19 02:25:00;9123.41;9154.69;9120.01;9145.97;25.81;235646.22;9128.98
2019-06-19 02:30:00;9145.94;9145.94;9136.04;9137.83;1.19;10924.03;9142.4
2019-06-19 02:35:00;9137.83;9143.21;9127.33;9127.33;1.67;15260.63;9131.61
2019-06-19 02:40:00;9134.14;9134.17;9121.75;9127.69;3.1;28335.9;9128.45
2019-06-19 02:45:00;9127.69;9137.81;9127.69;9135.67;4.62;42213.45;9132.79
2019-06-19 02:50:00;9128.84;9148.33;9127.88;9148.29;12.95;118314.12;9137.7
2019-06-19 02:55:00;9148.11;9150.33;9144.21;9144.24;4.74;43384.69;9146.08
2019-06-19 03:00:00;9145.82;9178.79;9145.82;9178.79;23.47;214961.34;9158.65
2019-06-19 03:05:00;9168.24;9171.86;9157.08;9162.3;2.25;20595.35;9163.27
2019-06-19 03:10:00;9157.72;9162.32;9140.67;9144.9;2.7;24725.18;9154.06
2019-06-19 03:15:00;9144.9;9166.4;9143.48;9160.62;14.89;136290.96;9151.63
2019-06-19 03:20:00;9159.77;9162.96;9148.04;9149.63;7.21;65981.15;9156.66
2019-06-19 03:25:00;9156.83;9156.83;9143.5;9151.68;2.43;22206.96;9152.57
2019-06-19 03:30:00;9148.53;9150;9145.1;9150;3.02;27636.43;9146.11
2019-06-19 03:35:00;9146.11;9156.85;9146.11;9151.64;4.59;41996;9150.79
2019-06-19 03:40:00;9151.06;9159;9149.97;9155.86;4.25;38925.83;9156.81
2019-06-19 03:45:00;9154.7;9154.73;9145.57;9145.57;0.43;3902.06;9147.77
2019-06-19 03:50:00;9145.57;9148.32;9131.42;9135.96;12.85;117413.12;9137.74
2019-06-19 03:55:00;9135.96;9145.41;9130;9140.92;7.67;70097.8;9137
2019-06-19 04:00:00;9140.89;9161.2;9138.18;9161.2;23.15;211824.15;9151.56
2019-06-19 04:05:00;9161.17;9167.85;9156.09;9164.6;4.09;37475.03;9162.05
2019-06-19 04:10:00;9164.57;9169.43;9161.74;9165.89;5.97;54733.82;9165.66
2019-06-19 04:15:00;9165.89;9208.24;9165.89;9187.95;111.62;1026545.55;9196.57
2019-06-19 04:20:00;9194.75;9198.46;9176.69;9183.84;3.5;32128.22;9190.54
2019-06-19 04:25:00;9184.84;9189.22;9177;9187.01;7.36;67632.6;9184.19
2019-06-19 04:30:00;9186.93;9200.73;9178.15;9191;4.65;42699.6;9186.18
2019-06-19 04:35:00;9198.4;9206.24;9191.11;9200.05;13.26;121993.35;9200.59
2019-06-19 04:40:00;9205.21;9208.24;9200;9208.24;14.94;137415.25;9200.53
2019-06-19 04:45:00;9211.04;9211.04;9165.01;9171.19;17.22;158272.04;9189.57
2019-06-19 04:50:00;9171.16;9178.75;9165.8;9178.75;1.62;14847.96;9175.77
2019-06-19 04:55:00;9178.69;9178.69;9161.96;9169.76;9.23;84576.04;9167.26
2019-06-19 05:00:00;9161.03;9167.83;9153.76;9160;4.62;42278.8;9156.52
2019-06-19 05:05:00;9164.93;9179.58;9164.93;9179.34;4.39;40250.77;9174.42
2019-06-19 05:10:00;9179.34;9186.13;9175;9178.13;33.84;310667.67;9179.16
2019-06-19 05:15:00;9169.4;9179.76;9167.46;9167.46;6.77;62025.13;9168.49
2019-06-19 05:20:00;9160.92;9166.84;9153.17;9153.48;1.51;13788.7;9155.43
2019-06-19 05:25:00;9158.08;9163.95;9147.62;9163.93;14.63;133900.75;9153.41
2019-06-19 05:30:00;9163.9;9163.9;9146.75;9150;2.8;25645.18;9151.31
2019-06-19 05:35:00;9154.79;9164.17;9150;9164.17;14.67;134268.99;9153.29
2019-06-19 05:40:00;9162.69;9168.42;9158;9158;1.47;13515.56;9164.87
2019-06-19 05:45:00;9163.96;9173.09;9153.27;9172.73;15.69;143677.88;9159.33
2019-06-19 05:50:00;9161.66;9169.1;9161.23;9167.31;8.94;81922.87;9166.97
